Reading 1,Reading 2,Reading 3,Reading 4,Label,Baseline
549,568,580,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
548,567,579,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
548,567,579,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
548,567,578,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
549,568,578,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
550,567,578,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,568,578,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
552,568,578,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
553,568,579,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
553,569,579,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
552,568,579,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,567,579,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
550,566,579,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
549,566,580,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
549,565,580,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
549,565,580,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
550,565,580,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,565,580,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
550,565,580,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
550,565,580,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,566,580,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,565,580,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
552,566,580,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,566,580,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,565,580,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
