Reading 1,Reading 2,Reading 3,Reading 4,Label
243,233,135,139,empty
244,234,135,139,empty
243,233,135,140,empty
244,234,134,140,empty
244,234,134,139,empty
243,234,134,140,empty
243,234,134,138,empty
244,234,134,139,empty
243,234,134,139,empty
244,233,134,139,empty
244,233,134,139,empty
243,234,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
244,234,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,133,138,empty
242,233,134,138,empty
243,233,134,139,empty
243,233,133,138,empty
242,232,133,138,empty
243,233,133,138,empty
243,233,134,138,empty
242,233,133,139,empty
243,233,134,138,empty
243,233,134,139,empty
244,234,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,234,134,139,empty
243,234,134,139,empty
243,234,134,139,empty
243,233,135,139,empty
243,234,135,139,empty
243,234,135,139,empty
243,233,135,140,empty
243,233,135,140,empty
244,233,135,140,empty
243,234,135,139,empty
244,234,135,139,empty
244,234,136,140,empty
244,235,135,140,empty
244,234,136,140,empty
244,234,136,140,empty
244,234,136,140,empty
244,235,136,140,empty
244,234,136,140,empty
244,234,135,140,empty
244,234,136,140,empty
244,235,135,140,empty
244,235,135,140,empty
245,235,136,141,empty
245,235,136,141,empty
245,235,136,140,empty
245,235,136,141,empty
245,235,136,141,empty
245,235,136,141,empty
245,235,136,141,empty
245,235,136,141,empty
245,236,137,142,empty
245,235,137,141,empty
245,235,136,141,empty
245,235,137,142,empty
245,236,137,141,empty
245,235,137,142,empty
244,235,135,140,empty
245,236,137,141,empty
245,235,137,141,empty
245,235,137,141,empty
245,236,137,141,empty
245,236,137,142,empty
245,235,137,141,empty
245,235,137,142,empty
246,236,136,142,empty
246,236,137,142,empty
246,236,137,142,empty
246,236,137,142,empty
245,236,138,142,empty
246,236,137,142,empty
246,236,137,142,empty
246,236,137,142,empty
246,236,137,142,empty
246,236,137,142,empty
