Reading 1,Reading 2,Reading 3,Reading 4,Label,Baseline
500,632,497,584,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,632,498,583,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,633,498,581,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,633,499,579,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
502,633,499,576,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
502,633,500,575,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
502,633,499,575,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,633,499,573,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,634,499,573,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,634,499,573,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,634,499,573,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,635,499,573,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
499,635,499,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
499,634,499,573,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
498,634,499,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
498,634,500,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
498,633,500,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
499,633,499,571,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
499,634,500,571,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
499,634,501,571,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,634,501,571,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,634,501,571,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,634,502,571,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,634,502,571,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,634,502,571,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,635,502,571,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,635,502,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
500,635,503,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,635,502,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,635,502,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
502,635,502,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,635,503,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,635,502,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
501,635,502,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
502,635,502,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
502,635,502,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
502,635,502,572,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
